ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
CYQT,medium_airport,Thunder Bay Airport,653,NA,CA,CA-ON,Thunder Bay,CYQT,YQT,,"48.37189865112305, -89.32389831542969"
CYQU,medium_airport,Grande Prairie Airport,2195,NA,CA,CA-AB,Grande Prairie,CYQU,YQU,,"55.1796989441, -118.885002136"
CYQV,medium_airport,Yorkton Municipal Airport,1635,NA,CA,CA-SK,Yorkton,CYQV,YQV,,"51.26470184326172, -102.46199798583984"
CYQW,medium_airport,North Battleford Airport,1799,NA,CA,CA-SK,North Battleford,CYQW,YQW,,"52.76919937133789, -108.24400329589844"
CYQX,medium_airport,Gander International Airport,496,NA,CA,CA-NL,Gander,CYQX,YQX,,"48.9369010925293, -54.56809997558594"
CYQY,medium_airport,Sydney / J.A. Douglas McCurdy Airport,203,NA,CA,CA-NS,Sydney,CYQY,YQY,,"46.1614, -60.047798"
CYQZ,medium_airport,Quesnel Airport,1789,NA,CA,CA-BC,Quesnel,CYQZ,YQZ,,"53.026100158691406, -122.51000213623047"
CYRA,medium_airport,Rae Lakes Airport,723,NA,CA,CA-NT,Gamètì,CYRA,YRA,,"64.11609649658203, -117.30999755859375"
CYRB,medium_airport,Resolute Bay Airport,215,NA,CA,CA-NU,Resolute Bay,CYRB,YRB,,"74.7169036865, -94.9693984985"
CYRI,medium_airport,Rivière-du-Loup Airport,427,NA,CA,CA-QC,Rivière-du-Loup,CYRI,YRI,,"47.764400482177734, -69.58470153808594"
CYRJ,medium_airport,Roberval Airport,586,NA,CA,CA-QC,Roberval,CYRJ,YRJ,,"48.52000045776367, -72.2656021118164"
CYRL,medium_airport,Red Lake Airport,1265,NA,CA,CA-ON,Red Lake,CYRL,YRL,,"51.066898345947266, -93.79309844970703"
CYRO,medium_airport,Ottawa / Rockcliffe Airport,188,NA,CA,CA-ON,Ottawa,CYRO,YRO,CYRO,"45.4603004456, -75.64610290530001"
CYRP,medium_airport,Ottawa / Carp Airport,382,NA,CA,CA-ON,Ottawa,CYRP,,YRP,"45.3191986084, -76.0222015381"
CYRQ,medium_airport,Trois-Rivières Airport,199,NA,CA,CA-QC,Trois-Rivières,CYRQ,YRQ,,"46.35279846191406, -72.67939758300781"
CYRS,medium_airport,Red Sucker Lake Airport,729,NA,CA,CA-MB,Red Sucker Lake,CYRS,YRS,,"54.167198181152344, -93.55719757080078"
CYRT,medium_airport,Rankin Inlet Airport,94,NA,CA,CA-NU,Rankin Inlet,CYRT,YRT,,"62.8114013672, -92.1157989502"
CYRV,medium_airport,Revelstoke Airport,1459,NA,CA,CA-BC,Revelstoke,CYRV,YRV,,"50.9667015076, -118.182998657"
CYSB,medium_airport,Sudbury Airport,1141,NA,CA,CA-ON,Sudbury,CYSB,YSB,,"46.625, -80.79889678955078"
CYSC,medium_airport,Sherbrooke Airport,792,NA,CA,CA-QC,Sherbrooke,CYSC,YSC,,"45.4385986328125, -71.69139862060547"
CYSF,medium_airport,Stony Rapids Airport,805,NA,CA,CA-SK,Stony Rapids,CYSF,YSF,,"59.250301361083984, -105.84100341796875"
CYSG,medium_airport,St Georges Airport,893,NA,CA,CA-QC,St Georges,CYSG,,,"46.096401, -70.714699"
CYSH,medium_airport,Smiths Falls-Montague (Russ Beach) Airport,416,NA,CA,CA-ON,Smiths Falls,CYSH,YSH,,"44.94580078125, -75.94059753417969"
CYSJ,medium_airport,Saint John Airport,357,NA,CA,CA-NB,Saint John,CYSJ,YSJ,,"45.31610107421875, -65.89029693603516"
CYSK,medium_airport,Sanikiluaq Airport,104,NA,CA,CA-NU,Sanikiluaq,CYSK,YSK,,"56.5377998352, -79.2466964722"
CYSL,medium_airport,St Leonard Airport,793,NA,CA,CA-NB,St Leonard,CYSL,YSL,,"47.157501220703125, -67.83470153808594"
CYSM,medium_airport,Fort Smith Airport,671,NA,CA,CA-NT,Fort Smith,CYSM,YSM,,"60.020301818847656, -111.96199798583984"
CYSN,medium_airport,Niagara District Airport,321,NA,CA,CA-ON,St Catharines,CYSN,YCM,,"43.19169998168945, -79.17169952392578"
CYSP,medium_airport,Marathon Airport,1035,NA,CA,CA-ON,Marathon,CYSP,YSP,,"48.75529861450195, -86.34439849853516"
CYST,medium_airport,St. Theresa Point Airport,773,NA,CA,CA-MB,St. Theresa Point,CYST,YST,,"53.84560012817383, -94.85189819335938"
CYSU,medium_airport,Summerside Airport,56,NA,CA,CA-PE,Summerside,CYSU,YSU,,"46.44060134887695, -63.83359909057617"
CYSY,medium_airport,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,282,NA,CA,CA-NT,Sachs Harbour,CYSY,YSY,,"71.9938964844, -125.242996216"
CYTA,medium_airport,Pembroke Airport,529,NA,CA,CA-ON,Pembroke,CYTA,YTA,,"45.86439895629883, -77.25170135498047"
CYTE,medium_airport,Cape Dorset Airport,164,NA,CA,CA-NU,Cape Dorset,CYTE,YTE,,"64.2300033569, -76.5267028809"
CYTF,medium_airport,Alma Airport,445,NA,CA,CA-QC,Alma,CYTF,YTF,,"48.50889968869999, -71.64189910889999"
CYTH,medium_airport,Thompson Airport,729,NA,CA,CA-MB,Thompson,CYTH,YTH,,"55.80110168457031, -97.86419677734375"
CYTL,medium_airport,Big Trout Lake Airport,729,NA,CA,CA-ON,Big Trout Lake,CYTL,YTL,,"53.81779861450195, -89.89689636230469"
CYTQ,medium_airport,Tasiujaq Airport,122,NA,CA,CA-QC,Tasiujaq,CYTQ,YTQ,,"58.66780090332031, -69.95580291748047"
CYTR,medium_airport,CFB Trenton,283,NA,CA,CA-ON,Trenton,CYTR,YTR,,"44.118900299072266, -77.5280990600586"
CYTS,medium_airport,Timmins/Victor M. Power,967,NA,CA,CA-ON,Timmins,CYTS,YTS,,"48.569698333699996, -81.376701355"
CYTZ,medium_airport,Billy Bishop Toronto City Centre Airport,252,NA,CA,CA-ON,Toronto,CYTZ,YTZ,,"43.627499, -79.396202"
CYUB,medium_airport,Tuktoyaktuk Airport,15,NA,CA,CA-NT,Tuktoyaktuk,CYUB,YUB,,"69.43329620361328, -133.0260009765625"
